Segment_ID,Band_ID,Gradient_Band,Start_Distance_km,End_Distance_km,Length_km,Average_Gradient_%,Min_Elevation_m,Max_Elevation_m,Elevation_Change_m
1,7,Flat,0,0.045,0.045,1,15.6,16.1,0.5
2,8,Gentle Uphill,0.045,0.154,0.109,4,16.1,20.4,4.3
3,9,Moderate Uphill,0.154,0.177,0.023,5,20.4,21.5,1.2
4,8,Gentle Uphill,0.177,0.361,0.184,4,21.5,28.3,6.7
5,7,Flat,0.361,0.82,0.46,1,28.3,31.3,3.1
6,8,Gentle Uphill,0.82,0.843,0.023,3,31.3,32,0.6
7,7,Flat,0.843,0.912,0.069,2,32,33.5,1.5
8,8,Gentle Uphill,0.912,0.935,0.023,3,33.5,34.1,0.6
9,7,Flat,0.935,1.188,0.253,1,34.1,36.7,2.7
10,6,Gentle Downhill,1.188,1.326,0.138,-4,30.4,35.6,5.2
11,5,Moderate Downhill,1.326,1.418,0.092,-6,25.2,30.4,5.2
12,6,Gentle Downhill,1.418,1.51,0.092,-4,21.8,25.2,3.4
13,7,Flat,1.51,5.511,4.001,0,16.2,21.8,5.6
14,8,Gentle Uphill,5.511,5.741,0.23,3,19.2,25.9,6.7
15,7,Flat,5.741,5.856,0.115,0,25.5,26.4,0.9
16,6,Gentle Downhill,5.856,6.132,0.276,-3,16.4,25.5,9.1
17,7,Flat,6.132,6.224,0.092,1,16.1,17.1,1
18,8,Gentle Uphill,6.224,6.293,0.069,4,17.1,19.9,2.8
19,9,Moderate Uphill,6.293,6.407,0.115,6,19.9,26.3,6.5
20,8,Gentle Uphill,6.407,6.521,0.114,3,26.3,30,3.7
21,7,Flat,6.521,6.912,0.391,0,30,32.6,2.6
22,6,Gentle Downhill,6.912,7.027,0.115,-4,27.7,31.9,4.2
23,5,Moderate Downhill,7.027,7.05,0.023,-5,26.5,27.7,1.2
24,6,Gentle Downhill,7.05,7.073,0.023,-5,25.4,26.5,1.1
25,5,Moderate Downhill,7.073,7.119,0.046,-5,22.9,25.4,2.5
26,6,Gentle Downhill,7.119,7.234,0.115,-4,18.3,22.9,4.6
27,7,Flat,7.234,20.926,13.692,0,15.8,25.5,9.7
28,8,Gentle Uphill,20.926,20.972,0.046,3,25,26.3,1.2
29,7,Flat,20.972,21.685,0.712,0,26.3,28.1,1.9
30,8,Gentle Uphill,21.685,21.799,0.115,3,27.6,30.9,3.3
31,7,Flat,21.799,28.121,6.321,0,25.4,43,17.6
32,8,Gentle Uphill,28.121,28.236,0.115,3,43,46.9,3.9
33,9,Moderate Uphill,28.236,28.305,0.069,5,46.9,50.5,3.6
34,8,Gentle Uphill,28.305,28.374,0.069,4,50.5,53.2,2.7
35,7,Flat,28.374,29.017,0.644,0,52,54.2,2.2
36,8,Gentle Uphill,29.017,29.178,0.161,3,52.7,57.6,4.8
37,7,Flat,29.178,31.708,2.53,1,57.6,73,15.4
38,6,Gentle Downhill,31.708,31.777,0.069,-4,69.4,72,2.7
39,5,Moderate Downhill,31.777,32.214,0.437,-6,42.6,69.4,26.8
40,6,Gentle Downhill,32.214,32.26,0.046,-4,40.8,42.6,1.8
41,7,Flat,32.26,33.685,1.426,0,37.4,46.6,9.2
42,8,Gentle Uphill,33.685,33.731,0.046,4,46.6,48.2,1.6
43,9,Moderate Uphill,33.731,34.076,0.345,7,48.2,71.8,23.6
44,8,Gentle Uphill,34.076,34.122,0.046,4,71.8,73.4,1.6
45,7,Flat,34.122,34.95,0.828,0,71.4,74.4,3
46,6,Gentle Downhill,34.95,35.111,0.161,-4,65.6,71.4,5.8
47,7,Flat,35.111,35.248,0.138,-1,63.9,65.6,1.7
48,6,Gentle Downhill,35.248,35.294,0.046,-4,62,63.9,1.9
49,5,Moderate Downhill,35.294,35.524,0.23,-7,46.2,62,15.8
50,6,Gentle Downhill,35.524,35.57,0.046,-4,44.4,46.2,1.7
51,7,Flat,35.57,35.846,0.276,0,43.3,44.9,1.7
52,8,Gentle Uphill,35.846,35.869,0.023,3,44.9,45.5,0.6
53,7,Flat,35.869,35.892,0.023,2,45.5,46.1,0.5
54,8,Gentle Uphill,35.892,36.03,0.138,3,46.1,49.7,3.7
55,7,Flat,36.03,36.053,0.023,2,49.7,50.3,0.5
56,8,Gentle Uphill,36.053,36.076,0.023,3,50.3,50.9,0.6
57,7,Flat,36.076,36.145,0.069,2,50.9,52.5,1.6
58,8,Gentle Uphill,36.145,36.329,0.184,3,52.5,58.7,6.2
59,7,Flat,36.329,36.398,0.069,1,58.7,59.3,0.6
60,6,Gentle Downhill,36.398,36.49,0.092,-4,55.6,59.1,3.5
61,5,Moderate Downhill,36.49,36.559,0.069,-5,52,55.6,3.6
62,6,Gentle Downhill,36.559,36.697,0.138,-4,46.3,52,5.6
63,7,Flat,36.697,36.904,0.207,0,45.4,47.1,1.8
64,8,Gentle Uphill,36.904,36.996,0.092,3,47.1,49.5,2.4
65,7,Flat,36.996,37.226,0.23,2,49.5,53.4,3.9
66,8,Gentle Uphill,37.226,37.249,0.023,3,53.4,54,0.6
67,7,Flat,37.249,37.501,0.253,1,54,55.8,1.7
68,8,Gentle Uphill,37.501,37.547,0.046,3,55.8,57,1.2
69,7,Flat,37.547,37.57,0.023,2,57,57.5,0.6
70,8,Gentle Uphill,37.57,37.731,0.161,4,57.5,63.7,6.2
71,7,Flat,37.731,37.846,0.115,0,63.2,64.2,0.9
72,6,Gentle Downhill,37.846,38.099,0.253,-3,55.6,63.2,7.6
73,7,Flat,38.099,38.237,0.138,0,54.2,55.6,1.4
74,8,Gentle Uphill,38.237,38.329,0.092,4,55.1,58.4,3.4
75,7,Flat,38.329,38.604,0.276,0,57.5,59.3,1.8
76,6,Gentle Downhill,38.604,38.719,0.115,-3,53.6,57.5,3.8
77,7,Flat,38.719,39.8,1.081,0,52.1,54.3,2.2
78,8,Gentle Uphill,39.8,39.892,0.092,3,54.3,57.1,2.8
79,7,Flat,39.892,40.007,0.115,-1,56.5,57.7,1.2
80,6,Gentle Downhill,40.007,40.053,0.046,-3,55.2,56.5,1.3
81,7,Flat,40.053,40.168,0.115,0,54.1,55.2,1.1
82,8,Gentle Uphill,40.168,40.489,0.322,4,54.8,67.4,12.6
83,7,Flat,40.489,41.018,0.529,0,65,68.7,3.7
84,8,Gentle Uphill,41.018,41.133,0.115,3,65.9,69.7,3.8
85,7,Flat,41.133,42.03,0.897,0,69.7,71.5,1.9
86,8,Gentle Uphill,42.03,42.122,0.092,3,71.2,74.4,3.2
87,7,Flat,42.122,42.444,0.322,0,74.4,76.9,2.6
88,6,Gentle Downhill,42.444,42.628,0.184,-3,70.6,75.7,5
89,7,Flat,42.628,42.881,0.253,-1,69,70.6,1.6
90,6,Gentle Downhill,42.881,42.973,0.092,-3,66.1,69,2.9
91,7,Flat,42.973,44.007,1.035,0,64.9,68.4,3.5
92,8,Gentle Uphill,44.007,44.053,0.046,3,68.4,69.6,1.2
93,7,Flat,44.053,44.306,0.253,1,69.6,71.6,2
94,8,Gentle Uphill,44.306,44.375,0.069,3,71.1,73.2,2.1
95,7,Flat,44.375,45.249,0.874,0,69.7,73.6,3.9
96,8,Gentle Uphill,45.249,45.295,0.046,3,71.8,73.2,1.3
97,7,Flat,45.295,45.64,0.345,1,73.2,75.4,2.3
98,8,Gentle Uphill,45.64,45.686,0.046,3,75.4,76.8,1.3
99,7,Flat,45.686,45.938,0.253,0,76.8,78,1.2
100,8,Gentle Uphill,45.938,46.053,0.115,3,78,81.6,3.6
101,7,Flat,46.053,47.662,1.608,1,80.2,90.5,10.4
102,6,Gentle Downhill,47.662,47.708,0.046,-3,88.3,89.7,1.4
103,7,Flat,47.708,47.846,0.138,0,87.5,88.8,1.2
104,8,Gentle Uphill,47.846,47.892,0.046,3,88.8,90,1.2
105,7,Flat,47.892,48.145,0.253,0,89.5,91.3,1.8
106,8,Gentle Uphill,48.145,48.375,0.23,3,90.4,98.4,8
107,7,Flat,48.375,48.788,0.413,0,97.6,99.7,2.1
108,8,Gentle Uphill,48.788,49.133,0.345,4,98.5,111.8,13.4
109,7,Flat,49.133,50.029,0.896,0,109.9,112.4,2.6
110,8,Gentle Uphill,50.029,50.075,0.046,3,112.4,113.7,1.3
111,7,Flat,50.075,50.098,0.023,2,113.7,114.3,0.6
112,8,Gentle Uphill,50.098,50.167,0.069,3,114.3,116.4,2.1
113,7,Flat,50.167,50.259,0.092,0,116.4,117.1,0.7
114,6,Gentle Downhill,50.259,50.281,0.023,-3,116,116.6,0.6
115,7,Flat,50.281,50.994,0.712,1,113.9,124.1,10.2
116,8,Gentle Uphill,50.994,51.178,0.184,4,124.1,131.1,7
117,7,Flat,51.178,52.487,1.31,0,129.9,132.2,2.3
118,8,Gentle Uphill,52.487,52.602,0.115,3,132.2,135.3,3.1
119,7,Flat,52.602,53.751,1.149,0,134.6,140,5.4
120,8,Gentle Uphill,53.751,53.82,0.069,4,139.3,141.9,2.6
121,9,Moderate Uphill,53.82,53.957,0.137,7,141.9,151,9.1
122,8,Gentle Uphill,53.957,53.98,0.023,4,151,151.9,1
123,7,Flat,53.98,54.209,0.229,-1,150.7,152.3,1.7
124,6,Gentle Downhill,54.209,54.255,0.046,-4,149,150.7,1.7
125,5,Moderate Downhill,54.255,54.301,0.046,-5,146.5,149,2.4
126,6,Gentle Downhill,54.301,54.369,0.069,-4,143.7,146.5,2.8
127,7,Flat,54.369,57.702,3.333,0,136.8,144.2,7.4
128,8,Gentle Uphill,57.702,57.771,0.069,4,144.2,146.8,2.7
129,9,Moderate Uphill,57.771,57.794,0.023,5,146.8,148,1.2
130,8,Gentle Uphill,57.794,57.84,0.046,4,148,149.6,1.6
131,7,Flat,57.84,57.909,0.069,-1,149.2,149.9,0.7
132,6,Gentle Downhill,57.909,58.07,0.161,-3,144.5,149.2,4.8
133,7,Flat,58.07,58.254,0.184,0,143,144.5,1.4
134,8,Gentle Uphill,58.254,58.346,0.092,3,143.9,146.7,2.7
135,7,Flat,58.346,59.656,1.311,0,143.9,149.1,5.2
136,6,Gentle Downhill,59.656,59.679,0.023,-3,147,147.5,0.6
137,7,Flat,59.679,60.277,0.598,0,145.9,150.9,5
138,6,Gentle Downhill,60.277,60.323,0.046,-3,148.2,149.6,1.4
139,7,Flat,60.323,63.358,3.035,0,146.8,154.6,7.8
140,8,Gentle Uphill,63.358,63.541,0.184,3,154.4,160.7,6.4
141,7,Flat,63.541,63.679,0.138,1,160.7,162,1.3
142,8,Gentle Uphill,63.679,63.702,0.023,4,162,162.9,0.9
143,9,Moderate Uphill,63.702,63.771,0.069,7,162.9,167.5,4.7
144,10,Steep Uphill,63.771,63.84,0.069,8,167.5,173.4,5.8
145,9,Moderate Uphill,63.84,64.093,0.253,7,173.4,192,18.6
146,10,Steep Uphill,64.093,64.161,0.068,10,192,198.9,6.9
147,11,Very Steep Uphill,64.161,64.193,0.032,17,198.9,204.1,5.2
148,12,Extreme Uphill,64.193,64.203,0.01,21,204.1,206.2,2.1
149,9,Moderate Uphill,64.203,64.226,0.023,7,206.2,207.9,1.7
150,8,Gentle Uphill,64.226,64.683,0.457,3,207.9,221.4,13.5
151,9,Moderate Uphill,64.683,64.774,0.092,7,221.4,227.6,6.2
152,10,Steep Uphill,64.774,64.979,0.205,10,227.6,247.3,19.6
153,9,Moderate Uphill,64.979,65.048,0.068,7,247.3,252.1,4.9
154,8,Gentle Uphill,65.048,65.117,0.069,4,252.1,254.7,2.6
155,7,Flat,65.117,66.009,0.892,0,248.6,255.7,7.1
156,8,Gentle Uphill,66.009,66.032,0.023,3,251.4,252.2,0.8
157,9,Moderate Uphill,66.032,66.283,0.252,7,252.2,269.9,17.7
158,10,Steep Uphill,66.283,66.467,0.184,9,269.9,286,16.1
159,9,Moderate Uphill,66.467,66.743,0.276,7,286,306.3,20.3
160,10,Steep Uphill,66.743,66.766,0.023,8,306.3,308.2,1.9
161,9,Moderate Uphill,66.766,67.017,0.252,7,308.2,326.3,18.2
162,10,Steep Uphill,67.017,67.155,0.138,9,326.3,338.1,11.7
163,9,Moderate Uphill,67.155,67.936,0.781,7,338.1,390.2,52.2
164,8,Gentle Uphill,67.936,68.097,0.161,4,390.2,396.2,6
165,7,Flat,68.097,68.603,0.506,1,396.2,400,3.8
166,8,Gentle Uphill,68.603,68.74,0.138,4,400,405.3,5.3
167,9,Moderate Uphill,68.74,68.878,0.138,5,405.3,412.7,7.4
168,8,Gentle Uphill,68.878,68.947,0.069,4,412.7,415.4,2.7
169,7,Flat,68.947,69.292,0.345,1,415.4,419.3,3.9
170,8,Gentle Uphill,69.292,69.982,0.69,4,419.3,447.2,27.8
171,7,Flat,69.982,70.166,0.184,0,447,448.3,1.4
172,6,Gentle Downhill,70.166,70.258,0.092,-4,443,447,3.9
173,5,Moderate Downhill,70.258,70.557,0.299,-6,426.5,443,16.6
174,6,Gentle Downhill,70.557,70.579,0.023,-5,425.3,426.5,1.1
175,5,Moderate Downhill,70.579,70.602,0.023,-5,424.1,425.3,1.2
176,6,Gentle Downhill,70.602,70.786,0.183,-4,416.1,424.1,8
177,5,Moderate Downhill,70.786,71.016,0.23,-7,400.5,416.1,15.6
