filename,total_points,total_distance_km,raw_elevation_gain_m,raw_elevation_loss_m,raw_gain_loss_ratio,gain_10m,loss_10m,ratio_10m,gain_25m,loss_25m,ratio_25m,gain_50m,loss_50m,ratio_50m,official_elevation_gain_m,accuracy_raw,accuracy_10m,accuracy_25m,accuracy_50m,noise_level,gradient_issues,data_quality_score
Valencia2022.gpx,312,42.2734892037027,121.945104241375,127.798743605617,0.954196424791884,106.894456583442,111.855879614097,0.955644503911892,90,94,0.961247501059436,75.2195619630799,77.9243381821608,0.965289712018367,46,265.098052698641,232.379253442266,196,163.520786876261,Medium,0,90
Tarawera_Ultra_Trail_21km.gpx,2970,22.5889020318269,1025.31385857523,1168.1113888429,0.877753498825895,730.594151593502,874.458809711846,0.835481492643718,531,676,0.785582552360013,385.142885767693,531.687722586835,0.724377993710005,400,256.328464643807,182.648537898376,133,96.2857214419233,Medium,66,60
Berlin Garmin.gpx,12596,42.6688078930739,219.999984741211,220.399982452393,0.998185128207676,118.401558103759,118.007848811522,1.00333629751074,92,92,1.00268903100431,74.7637865249148,74.6499127226832,1.00152543784819,73,301.369842111248,162.193915210629,126,102.416145924541,Low,5,95
la-barjo-et-le-raid-de-l-archange-2025-raid-de-l-archange-etape-2.gpx,2410,79.7434510918513,703,706,0.995750708215297,690.996105240121,693.996105240123,0.995677209169692,642,645,0.995352002643935,555.314021339106,558.314021339106,0.99462667981577,541,129.944547134935,127.725712613701,119,102.645844979502,Medium,0,90
Lavaredo10_K_2025_1def89aacb.gpx,622,9.69206592280173,427,427.099999999999,0.999765862795598,377.716050416085,377.771890241722,0.999852186393221,347,348,0.999129179935377,326.766325686126,328.090193911407,0.995964925956798,300,142.333333333333,125.905350138695,116,108.922108562042,Medium,11,79
M01_Oslo-Bergen.gpx,20473,500.047310871708,19497.6142349243,19929.5964393616,0.978324588470639,18240.3226606097,18672.0873004233,0.976876466306805,17008,17436,0.975490887018039,15770.6360949299,16188.510266728,0.974186990346051,15000,129.984094899495,121.602151070731,113,105.137573966199,Medium,534,60
Oncol.gpx,2921,52.70276393876,2279,2275,1.00175824175824,2092.99515855784,2088.8486544706,1.00198506678709,1814,1810,1.00239885494355,1553.28495941635,1549.08424320984,1.00271174161439,1600,142.4375,130.812197409865,113,97.0803099635218,Medium,69,60
v8_2024_UTK_by_UTMB_30km_RACE_ALIGNMENT_WEB_1f05f20777.gpx,3054,31.9936330038564,1295.48,1650.71,0.7848016913934,980.469388727786,1334.18908196825,0.734880386879914,690,1041,0.662991354029475,560.194953901244,906.420211356872,0.618030077973058,610,212.373770491803,160.732686676686,113,91.8352383444662,Medium,94,45
TRACCIA-50KM-1jj.gpx,2599,48.0951014804348,3738,3728,1.00268240343348,3306.66048098263,3298.50202488179,1.00247338217145,2938,2932,1.00224908286698,2727.90962395393,2726.20176418789,1.0006264612504,2600,143.769230769231,127.179249268563,113,104.919600921305,High,242,45
mozart100_CITY.gpx,531,9.11280116923134,429.63,428.15,1.00345673245358,378.416845353998,375.103306170982,1.00883367096078,333,327,1.01903539217952,293.008668540909,286.693902447265,1.02202616114169,300,143.21,126.138948451333,111,97.6695561803029,Medium,42,60
JA_Tral_10_km_2024_b2b15fa87b.gpx,496,11.1457525722525,483.7,479.9,1.0079183163159,414.816259570801,411.391152581439,1.00832567002929,330,328,1.00730370749197,290.493816025908,288.608376797809,1.0065328638379,300,161.233333333333,138.2720865236,110,96.8312720086359,High,13,62
GPX 2025 O-SEE 16k 2025.gpx,711,16.8795583927005,897,888,1.01013513513514,752.483735255874,742.781945518985,1.01306142374006,643,637,1.00883189778688,534.878538946523,530.375279046104,1.00849070474875,586,153.071672354949,128.410193729671,110,91.2762011854135,High,39,45
Tarawera_Ultra_Trail_160km.gpx,19112,161.609358880568,5376.68750879413,5401.67774258011,0.995373616313874,4601.65271105322,4627.05525788628,0.994509997089453,4049,4074,0.993683018609456,3512.11923768071,3537.48488329226,0.992829468832121,3700,145.315878616058,124.368992190628,109,94.9221415589382,Medium,526,60
v8_2024_UTK_by_UTMB_50km_RACE_ALIGNMENT_WEB_38e245c8e7.gpx,5413,50.0027892665479,2256.91,2612.62,0.863849316012279,1807.8992842796,2161.9524156796,0.836234540209017,1422,1775,0.801108935253396,1247.60877271151,1598.57330456476,0.780451399475354,1300,173.608461538461,139.069175713816,109,95.9699055931932,Medium,179,60
Texport25.gpx,1359,25.8642500567286,1699,1699,1,1593.87718602616,1593.87718602615,1,1488,1488,1,1386.55652461629,1386.55652461629,1,1370,124.014598540146,116.341400439865,109,101.208505446445,High,104,45
mozart100_LIGHT.gpx,1485,36.6122125245325,2293.76,2531.32,0.906151731112621,1992.94606257588,2227.65395800024,0.894638979011326,1725,1956,0.882065703053536,1515.31274162641,1744.5784947354,0.868583870659395,1600,143.36,124.559128910992,108,94.7070463516507,High,173,45
2025_Desert_Rats_Trail_Running_Festival_by_UTMB_50k_Course_8e95c5c5e7.gpx,4254,49.094413123037,1948.679,1948.404,1.00014114115964,1380.59480221722,1379.39189919474,1.00087205312948,1130,1127,1.00254282676427,989.698941212,983.092156722476,1.00672041216517,1050,185.588476190476,131.485219258783,108,94.2570420201905,Medium,53,60
