Rank,Interval (m),Weighted Score,Files 98-102%,Files 95-105%,Files 90-110%,Files 85-115%,Files 80-120%,Files Outside 80-120%,Total Files,% in 98-102%,% in 95-105%,% in 90-110%,% in 85-115%,% in 80-120%,% Outside 80-120%,Average Accuracy %,Median Accuracy %,Best Accuracy %,Worst Accuracy %,Std Deviation
1,3.9,939.5,50,106,144,167,177,11,188,26.6,56.4,76.6,88.8,94.1,5.9,99.67,98.45,100,0.6,13.28
2,3.7,939,48,108,145,167,177,11,188,25.5,57.4,77.1,88.8,94.1,5.9,99.96,98.65,100,0.6,13.38
3,3.75,934.5,48,109,144,167,176,12,188,25.5,58,76.6,88.8,93.6,6.4,99.89,98.45,100,0.6,13.45
4,3.85,934.5,48,107,144,167,177,11,188,25.5,56.9,76.6,88.8,94.1,5.9,99.77,98.55,100,0.6,13.28
5,3.4,933.5,52,104,147,166,175,13,188,27.7,55.3,78.2,88.3,93.1,6.9,100.43,98.8,100,0.6,13.64
6,3,933.5,52,105,146,163,175,13,188,27.7,55.9,77.7,86.7,93.1,6.9,101.02,99.2,100,0.6,13.99
7,3.45,933,52,105,145,165,175,13,188,27.7,55.9,77.1,87.8,93.1,6.9,100.35,98.85,100,0.6,13.59
8,3.05,926.5,53,104,144,165,174,14,188,28.2,55.3,76.6,87.8,92.6,7.4,100.97,99.35,100,0.5,13.99
9,3.95,925.5,47,106,143,166,177,11,188,25,56.4,76.1,88.3,94.1,5.9,99.59,98.3,99.9,0.6,13.21
10,3.8,925,45,108,144,166,177,11,188,23.9,57.4,76.6,88.3,94.1,5.9,99.86,98.55,100,0.6,13.36
11,6.1,923,46,103,143,163,179,9,188,24.5,54.8,76.1,86.7,95.2,4.8,98.52,97.8,100.1,0.5,12.74
12,3.65,922.5,47,108,145,166,175,13,188,25,57.4,77.1,88.3,93.1,6.9,100.02,98.65,100,0.6,13.42
13,6.9,922,48,102,143,163,178,10,188,25.5,54.3,76.1,86.7,94.7,5.3,98.53,97.9,99.9,0.5,12.88
14,4.15,920.5,47,103,143,162,178,10,188,25,54.8,76.1,86.2,94.7,5.3,98.33,97.85,100,0.5,12.92
15,3.2,920,52,102,146,166,174,14,188,27.7,54.3,77.7,88.3,92.6,7.4,100.71,99,100,0.5,13.81
16,3.55,920,47,107,145,167,175,13,188,25,56.9,77.1,88.8,93.1,6.9,100.2,98.85,99.9,0.5,13.6
17,3.1,919,51,103,146,166,174,14,188,27.1,54.8,77.7,88.3,92.6,7.4,100.87,99.25,100,0.6,13.82
18,3.5,918.5,49,104,145,166,175,13,188,26.1,55.3,77.1,88.3,93.1,6.9,100.29,98.85,100,0.6,13.61
19,6.4,917,44,103,144,164,179,9,188,23.4,54.8,76.6,87.2,95.2,4.8,98.34,97.85,100,0.5,12.52
20,2.15,917,54,106,141,159,172,16,188,28.7,56.4,75,84.6,91.5,8.5,101.17,99.35,100,0.5,14.42
21,6.55,916.5,45,104,143,164,178,10,188,23.9,55.3,76.1,87.2,94.7,5.3,98.5,97.8,100,0.5,12.77
22,3.6,916,47,106,145,165,175,13,188,25,56.4,77.1,87.8,93.1,6.9,100.14,98.75,99.9,0.6,13.55
23,6.25,916,46,102,144,164,178,10,188,24.5,54.3,76.6,87.2,94.7,5.3,98.43,97.85,100.1,0.5,12.59
24,6.75,915.5,43,106,144,163,178,10,188,22.9,56.4,76.6,86.7,94.7,5.3,98.4,97.65,100.1,0.5,12.64
25,4.25,915,46,103,142,162,178,10,188,24.5,54.8,75.5,86.2,94.7,5.3,98.24,97.7,100,0.5,12.81
26,2.6,915,51,104,143,161,174,14,188,27.1,55.3,76.1,85.6,92.6,7.4,100.31,99,100,0.5,13.95
27,3.25,914.5,50,103,146,165,174,14,188,26.6,54.8,77.7,87.8,92.6,7.4,100.67,99.1,100,0.6,13.77
28,3.35,914.5,48,104,145,166,175,13,188,25.5,55.3,77.1,88.3,93.1,6.9,100.48,98.9,100,0.5,13.67
29,3.15,913.5,49,103,144,165,175,13,188,26.1,54.8,76.6,87.8,93.1,6.9,100.79,99.15,100,0.6,13.81
30,6.5,913.5,45,101,143,164,179,9,188,23.9,53.7,76.1,87.2,95.2,4.8,98.53,97.7,100,0.5,12.83
31,6.65,913.5,45,101,143,164,179,9,188,23.9,53.7,76.1,87.2,95.2,4.8,98.39,97.7,100,0.5,12.72
32,6.8,913.5,45,101,143,164,179,9,188,23.9,53.7,76.1,87.2,95.2,4.8,98.31,97.65,99.9,0.5,12.63
33,4.19,913,44,104,144,162,178,10,188,23.4,55.3,76.6,86.2,94.7,5.3,98.3,97.8,100.1,0.5,12.83
34,6.6,911.5,43,103,143,164,179,9,188,22.9,54.8,76.1,87.2,95.2,4.8,98.43,97.75,100.1,0.5,12.68
35,6.95,911,46,101,143,163,178,10,188,24.5,53.7,76.1,86.7,94.7,5.3,98.46,97.8,100,0.5,12.73
36,3.3,911,51,101,145,165,174,14,188,27.1,53.7,77.1,87.8,92.6,7.4,100.57,99.05,100,0.6,13.75
37,6.2,910,45,102,143,163,178,10,188,23.9,54.3,76.1,86.7,94.7,5.3,98.49,97.75,100.2,0.5,12.68
38,6.7,909.5,44,101,143,164,179,9,188,23.4,53.7,76.1,87.2,95.2,4.8,98.44,97.7,100.1,0.5,12.67
39,2.65,908.5,52,101,142,161,174,14,188,27.7,53.7,75.5,85.6,92.6,7.4,100.24,98.85,100.1,0.5,13.89
40,4,908,44,104,141,161,178,10,188,23.4,55.3,75,85.6,94.7,5.3,98.51,97.85,100,0.5,13.03
41,6,907.5,42,103,143,164,179,9,188,22.3,54.8,76.1,87.2,95.2,4.8,98.33,97.7,100,0.5,12.58
42,4.35,904.5,42,105,142,161,178,10,188,22.3,55.9,75.5,85.6,94.7,5.3,98.11,97.5,99.9,0.5,12.73
43,6.15,904,42,102,143,163,179,9,188,22.3,54.3,76.1,86.7,95.2,4.8,98.53,97.8,100.2,0.5,12.68
44,2.7,904,52,102,141,161,173,15,188,27.7,54.3,75,85.6,92,8,100.19,98.9,100,0.5,13.91
45,2.3,901.5,53,102,141,160,172,16,188,28.2,54.3,75,85.1,91.5,8.5,100.78,99.1,99.9,0.5,14.24
46,4.1,901.5,42,104,142,161,178,10,188,22.3,55.3,75.5,85.6,94.7,5.3,98.39,97.65,100.1,0.5,12.89
47,2.09,901.5,50,106,141,160,172,16,188,26.6,56.4,75,85.1,91.5,8.5,101.24,99.4,100,0.5,14.6
48,2.2,901,53,102,141,159,172,16,188,28.2,54.3,75,84.6,91.5,8.5,101.06,99.3,99.9,0.5,14.41
49,1.85,900.5,54,103,140,159,171,17,188,28.7,54.8,74.5,84.6,91,9,103.03,100.2,100,0.6,15.25
50,2.75,900,49,102,142,162,174,14,188,26.1,54.3,75.5,86.2,92.6,7.4,100.12,98.8,100,0.5,13.87
51,2.45,899.5,51,102,141,160,173,15,188,27.1,54.3,75,85.1,92,8,100.53,98.9,100,0.5,14.06
52,2.8,899.5,52,100,142,161,173,15,188,27.7,53.2,75.5,85.6,92,8,100,98.7,100,0.5,13.83
53,4.3,899,42,103,142,162,178,10,188,22.3,54.8,75.5,86.2,94.7,5.3,98.17,97.7,100,0.5,12.77
54,2.5,897.5,49,104,141,160,173,15,188,26.1,55.3,75,85.1,92,8,100.46,99,100,0.5,14.04
55,4.05,897.5,42,102,143,162,178,10,188,22.3,54.3,76.1,86.2,94.7,5.3,98.43,97.75,100.1,0.5,12.93
56,6.85,897,41,101,143,163,179,9,188,21.8,53.7,76.1,86.7,95.2,4.8,98.31,97.6,99.9,0.5,12.74
57,2.55,896.5,50,103,140,159,173,15,188,26.6,54.8,74.5,84.6,92,8,100.36,98.9,100.1,0.5,13.96
58,6.05,895.5,39,101,143,164,180,8,188,20.7,53.7,76.1,87.2,95.7,4.3,98.3,97.55,100,0.5,12.52
59,1.9,895,52,104,140,158,171,17,188,27.7,55.3,74.5,84,91,9,102.94,100.3,99.8,0.6,15.19
60,4.4,895,42,102,142,160,178,10,188,22.3,54.3,75.5,85.1,94.7,5.3,97.99,97.35,99.9,0.5,12.64
61,1.95,894,50,103,142,160,172,16,188,26.6,54.8,75.5,85.1,91.5,8.5,102.82,100.1,100,0.6,15.07
62,4.65,894,41,101,142,160,179,9,188,21.8,53.7,75.5,85.1,95.2,4.8,97.73,97.4,100,0.5,12.54
63,2.4,892,51,102,140,160,172,16,188,27.1,54.3,74.5,85.1,91.5,8.5,100.64,99.05,100,0.5,14.12
64,2.34,891,52,101,139,159,172,16,188,27.7,53.7,73.9,84.6,91.5,8.5,100.67,99.1,100,0.5,14.15
65,2.25,890.5,51,101,141,160,172,16,188,27.1,53.7,75,85.1,91.5,8.5,100.95,99.2,100,0.5,14.31
66,2,890.5,50,103,140,159,172,16,188,26.6,54.8,74.5,84.6,91.5,8.5,101.4,99.45,99.9,0.5,14.81
67,4.44,889.5,39,104,142,161,178,10,188,20.7,55.3,75.5,85.6,94.7,5.3,97.96,97.3,99.9,0.5,12.65
68,2.85,889,49,100,143,161,173,15,188,26.1,53.2,76.1,85.6,92,8,99.95,98.55,100.1,0.5,13.73
