Interval_m,Optimization_Score,Files_90-110%,Files_80-120%,Files_95-105%,Files_98-102%,Mean_Accuracy_%,Median_Accuracy_%,Best_Accuracy_%,Worst_Accuracy_%,Accuracy_StdDev,Mean_Ratio,Median_Ratio,Files_Balanced_0.8-1.2,Files_Excellent_0.9-1.1,Files_Perfect_0.95-1.05,Ratio_StdDev,Total_Files
3.7,65.6,146,184,98,38,104.87,97.96,100.06,591.68,40.76,1.047,1,186,175,157,0.422,205
3.9,64.85,142,184,95,36,104.55,97.68,99.91,591.41,40.76,1.047,1,186,175,157,0.423,205
3,65.33,142,183,101,42,105.75,98.49,99.91,592.08,40.89,1.047,1,186,175,157,0.419,205
3.8,65.19,143,183,95,38,104.65,97.9,100.11,592.96,40.86,1.047,1,186,175,157,0.419,205
3.3,65.03,141,183,100,40,105.32,98.22,100.04,592.26,40.84,1.047,1,186,175,157,0.42,205
3.4,65.33,143,182,99,40,105.17,98.14,100.02,592.18,40.84,1.047,1,186,175,157,0.42,205
6.4,65.26,142,182,94,39,103.38,97,100,591.05,40.7,1.047,1,185,175,157,0.424,205
6,65.25,144,182,90,36,103.46,97.05,100.02,590.93,40.7,1.047,1,185,175,157,0.425,205
3.1,65.15,142,182,102,40,105.6,98.44,99.99,592.6,40.91,1.047,1,186,175,157,0.418,205
3.2,65.11,143,182,102,38,105.48,98.32,100.04,592.87,40.92,1.047,1,186,175,157,0.418,205
6.7,65.49,143,181,91,40,103.52,97.18,99.94,590.66,40.72,1.047,1,185,175,157,0.425,205
3.6,65.21,144,181,98,37,105.01,98.05,100.16,593.46,40.92,1.047,1,186,175,157,0.416,205
3.5,65.15,143,181,97,38,105.1,98.13,100.09,592.33,40.84,1.047,1,186,175,157,0.418,205
6.9,64.59,141,181,92,34,103.64,97.2,100.03,590.42,40.71,1.048,1,185,175,157,0.426,205
6.8,65.15,142,180,90,38,103.5,97.09,99.99,591.22,40.8,1.047,1,185,175,157,0.423,205
6.6,64.94,144,180,88,33,103.58,97.24,100.15,591.19,40.75,1.047,1,185,175,157,0.425,205
6.1,64.76,142,180,91,34,103.55,97.23,100.12,591.59,40.76,1.047,1,185,175,157,0.422,205
6.2,65.26,144,179,90,36,103.54,97.09,99.85,592.76,40.83,1.047,1,185,175,157,0.418,205
6.5,65.23,142,179,89,39,103.64,97.35,100.09,591.2,40.78,1.047,1,185,175,157,0.424,205
4.2,64.98,142,179,93,36,103.12,96.82,100.09,590.22,40.72,1.048,1,185,175,157,0.428,205
6.3,64.87,142,179,93,35,103.47,97.08,100.09,591.66,40.76,1.047,1,185,175,157,0.421,205
5.6,64.64,139,179,86,36,102.16,96.38,100.01,590.15,40.73,1.048,1,184,175,157,0.428,205
