filename,official_elevation_gain_m
arc_12.gpx,500
arc_100.gpx,4900
berlin garmin.gpx,73
bostonmarathon2024.gpx,248
cdh_2024_868f768a27.gpx,6400
chedi_10.gpx,300
cht_20_k.gpx,800
cmt_46.gpx,1700
cwr_10_k.gpx,400
eiger250.gpx,18000
exp_2024_v1_d870334997.gpx,2100
grindstone_utmb_100_mile.gpx,6400
istria_21.gpx,157
istria_42.gpx,1153
istria_100.gpx,7437
k31.gpx,1816
k130-1.gpx,9500
kat_easy_trail.gpx,250
kat100_speed_trail.gpx,1650
kat_100miles.gpx,9900
kodiak_ultra_marathons_by_utmb_100_mile.gpx,4100
kodiak_ultra_marathons_by_utmb_100k.gpx,2350
mainova-frankfurt-marathon 2023.gpx,28
mozart100_city.gpx,300
mozart100_half.gpx,1000
mozart100_light.gpx,1600
mozart100_mozart_100.gpx,5800
mrw_utmb_100_m.gpx,8400
mut_25_km_2025.gpx,850
mut_60.gpx,3050
mut_100_km.gpx,4850
mut_100_m.gpx,8100
mut_lite_2025.gpx,260
mut_marathon_2025.gpx,2300
nocnyjelen.gpx,2672
o-see 50k.gpx,2300
oncol.gpx,1600
oravaman.gpx,1250
pda_2024_b0233ba7ee.gpx,3300
pilolcura.gpx,3500
sky_2024_de336280ae.gpx,800
suthep_20.gpx,1190
tarawera_ultra_trail_21km.gpx,400
tarawera_ultra_trail_160km.gpx,3700
the-arctic-triple-lofoten-ultra-trail-50-miles.gpx,3500
the-arctic-triple-lofoten-ultra-trail-100-miles.gpx,7000
tokyo-grand-trail-2025-110km.gpx,7789
trail-de-haute-provence-2025-thp120.gpx,5860
trans_int_160.gpx,8980
uka pain 50km.gpx,1500
utcc_120_k.gpx,5200
valencia2022.gpx,46
vda_2024_5ab5a38e62.gpx,10000
volvic-volcanic-experience-2025.gpx,3381
wserupdatedaug2024.gpx,4960
x-alpine.gpx,9300
x-marathon.gpx,3000
x-plore.gpx,1700
x-traverse.gpx,5300
xterra-o-see-ultra-trail-2024-50k.gpx,2300
Trail_10_K_2024_1_66d8b7cf23.gpx,500
Trail_21k_Includes_Aid_Stations_2024_db8c8ccd98.gpx,1800
Trail_50k2024_62c7002d87.gpx,3400
Trail_80_K2024_Parc_Central_4454e3113a.gpx,3900
Ultra105_K_2024_W_aa29ab62c4.gpx,6900
