Method,Rank,Parameter,Precision_Score,Files_±2%,Files_±5%,Files_±10%,Files_>20%,Gain_Avg_%,Loss_Avg_%,Gain_Median_%,Loss_Median_%,Best_Gain_%,Worst_Gain_%,Best_Loss_%,Worst_Loss_%,Total_Files
TwoPass-3m+2.5m,1,2.5,2495.03,44,90,136,16,98,102.97,97.51,100.01,99.97,0.47,99.97,276.13,188
DistBased-2.1m,2,2.1,2459.27,44,90,137,20,101.85,103.88,99.84,100.47,100.06,0.48,99.95,280.86,188
DistBased-1.7m,3,1.7,2452.44,45,90,134,21,102.76,104.8,100.68,101.17,99.95,0.47,100.04,279.59,188
DistBased-1.9m,4,1.9,2443.26,44,92,132,21,102.35,104.39,100.1,100.84,100.09,0.49,99.94,280.48,188
TwoPass-3m+2.6m,5,2.6,2422.28,43,87,133,17,98,100.71,97.51,98.37,99.97,0.47,99.96,271.71,188
DistBased-2.0m,6,2,2418.95,43,90,135,21,102.01,104.04,99.9,100.86,99.96,0.49,100.13,279.11,188
DistBased-1.8m,7,1.8,2417.88,42,92,135,21,102.54,104.58,100.25,101.27,99.94,0.49,100,282.06,188
TwoPass-3m+2.4m,8,2.4,2414.73,41,89,136,17,98,103.27,97.51,100.01,99.97,0.47,99.91,278.94,188
DistBased-2.6m,9,2.6,2402.97,41,88,135,17,98.69,100.71,98.04,98.37,100.02,0.46,99.96,271.71,188
DistBased-2.2m,10,2.2,2399.74,41,89,137,19,101.61,103.66,99.63,100.42,100,0.48,100.01,281.85,188
DistBased-3.0m,11,3,2382.98,42,85,133,17,98,100.01,97.51,97.97,99.97,0.47,99.97,271.25,188
TwoPass-3m+3.0m,12,3,2382.98,42,85,133,17,98,100.01,97.51,97.97,99.97,0.47,99.97,271.25,188
DistBased-2.5m,13,2.5,2381.1,42,85,135,18,100.93,102.97,99.41,100.01,100.07,0.47,99.97,276.13,188
DistBased-2.4m,14,2.4,2380.5,41,88,135,19,101.23,103.27,99.46,100.01,99.94,0.49,99.91,278.94,188
DistBased-1.6m,15,1.6,2376.88,41,91,133,21,103.04,105.08,101.03,101.61,100.05,0.47,100.11,278.44,188
DistBased-3.6m,16,3.6,2371.25,42,82,133,15,97.12,99.13,96.93,97.38,100.03,0.44,99.87,268.85,188
TwoPass-3m+3.3m,17,3.3,2362.57,41,85,131,16,98,99.57,97.51,97.77,99.97,0.47,99.85,274.52,188
DistBased-2.3m,18,2.3,2355.18,39,88,138,19,101.39,103.43,99.7,100.44,100.01,0.5,100,278.35,188
DistBased-4.0m,19,4,2354.86,42,81,134,16,96.42,98.44,96.66,96.99,100.02,0.42,100.02,270.05,188
TwoPass-3m+3.1m,20,3.1,2347.91,41,84,132,17,98,99.91,97.51,97.77,99.97,0.47,100.06,270.48,188
TwoPass-3m+2.8m,21,2.8,2347.69,41,83,132,16,98,100.3,97.51,98.1,99.97,0.47,100.02,274.49,188
TwoPass-3m+2.2m,22,2.2,2339.34,38,88,137,18,98,103.66,97.51,100.42,99.97,0.47,100.01,281.85,188
TwoPass-3m+3.7m,23,3.7,2336.89,40,83,134,16,98,98.89,97.51,97.31,99.97,0.47,99.99,269.69,188
DistBased-3.5m,24,3.5,2336.46,39,84,134,15,97.22,99.24,96.74,97.46,99.93,0.44,99.99,269.1,188
DistBased-2.7m,25,2.7,2327.96,37,88,134,16,98.45,100.49,97.79,98.1,99.9,0.46,100,271.05,188
TwoPass-3m+2.9m,26,2.9,2327.83,40,84,132,17,98,100.16,97.51,98.01,99.97,0.47,100.02,271.11,188
TwoPass-3m+2.3m,27,2.3,2324.57,37,89,136,18,98,103.43,97.51,100.44,99.97,0.47,100,278.35,188
DistBased-2.8m,28,2.8,2312.98,40,82,133,17,98.29,100.3,97.82,98.1,100.02,0.44,100.02,274.49,188
TwoPass-3m+3.2m,29,3.2,2312.66,39,85,131,17,98,99.67,97.51,97.55,99.97,0.47,99.98,270.29,188
DistBased-3.2m,30,3.2,2307.31,39,85,132,18,97.64,99.67,97.34,97.55,99.97,0.44,99.98,270.29,188
TwoPass-3m+3.5m,31,3.5,2307.24,38,84,134,16,98,99.24,97.51,97.46,99.97,0.47,99.99,269.1,188
DistBased-2.9m,32,2.9,2302.94,39,84,131,17,98.11,100.16,97.66,98.01,100.04,0.44,100.02,271.11,188
DistBased-3.4m,33,3.4,2301.63,39,83,133,17,97.31,99.32,97.02,97.38,99.99,0.44,100.04,269.56,188
TwoPass-3m+2.7m,34,2.7,2297.51,37,86,132,16,98,100.49,97.51,98.1,99.97,0.47,100,271.05,188
TwoPass-3m+3.6m,35,3.6,2297.13,38,84,132,16,98,99.13,97.51,97.38,99.97,0.47,99.87,268.85,188
DistBased-3.7m,36,3.7,2295.77,39,81,134,16,96.87,98.89,96.94,97.31,99.98,0.44,99.99,269.69,188
TwoPass-3m+3.4m,37,3.4,2287.32,38,84,132,17,98,99.32,97.51,97.38,99.97,0.47,100.04,269.56,188
